#{"t_start": 1776966452.5008118, "env_id": "None"}
r,l,t
28.316324,359,15.648062
7.922267,180,23.687082
1.448715,53,26.018955
4.650348,113,31.113333
1.818877,68,34.085786
4.890335,128,39.737749
4.560665,148,46.333212
24.278952,354,62.235734
8.126686,194,71.063134
8.200501,128,76.859904
24.900527,495,99.085786
21.632325,355,115.059933
5.115777,102,119.567719
5.281731,124,125.123553
22.086566,360,141.257194
3.90937,116,146.53894
1.681831,101,151.058229
14.810393,240,161.757192
18.773704,245,172.641835
1.592518,78,176.077323
4.411778,105,180.69755
18.079357,376,197.373097
14.89015,267,209.335183
11.829466,204,218.324073
4.561743,73,221.559884
5.099098,121,229.727612
25.380172,437,249.223013
21.264003,353,264.82444
4.454005,126,270.437665
24.327518,501,293.157308
11.872568,267,305.225798
1.650375,101,309.938287
25.727819,357,326.352784
8.008739,187,334.898338
4.88028,122,340.496166
17.965132,273,352.747289
4.283044,136,358.956516
11.482996,238,369.670655
5.105192,144,376.165286
17.727569,390,393.835693
8.098138,159,401.00937
25.822659,399,419.419104
1.489764,50,421.672726
18.57145,229,432.024505
18.563061,184,440.398029
1.90307,91,444.4973
8.27822,136,450.76821
15.03524,186,460.761622
5.186425,59,463.44351
5.24761,69,466.57928
18.088111,144,473.135409
11.140984,108,478.054111
4.191342,59,480.777425
5.37563,53,483.164084
4.406605,66,486.174323
5.014735,61,488.914963
1.088388,73,492.259556
4.957681,89,496.336247
1.670519,36,498.005371
4.584494,61,500.728012
5.480262,42,502.680743
12.31479,92,506.762625
4.473349,51,509.132439
4.074176,73,512.526438
5.419048,30,513.947356
2.229143,67,517.030659
1.607972,47,519.153241
4.637387,52,521.529305
5.235001,18,522.34269
5.377957,29,523.642822
1.738457,38,525.343055
4.978734,37,527.00903
1.815464,37,528.695698
5.11437,52,531.068987
1.276547,48,533.285058
5.018772,46,535.350141
8.083705,76,538.838727
4.509137,54,541.32343
5.515455,49,543.554033
1.972673,55,546.032822
1.304785,43,547.999708
8.978775,81,551.686496
10.938489,120,557.104794
4.592522,32,558.560682
4.418747,37,560.249281
1.762718,28,561.507598
1.374277,16,562.2362
2.151365,17,563.010705
1.100538,37,564.740915
0.802167,42,566.673353
5.637536,25,567.805516
1.680191,49,570.087752
4.257037,67,573.191447
2.234337,30,574.509083
4.793862,35,576.073864
1.687401,30,577.410264
1.763729,71,580.627728
1.533662,53,583.118872
4.979194,23,584.171876
4.827378,98,588.633746
1.303589,31,590.064441
1.239545,70,593.235873
4.135815,79,596.907328
0.425881,101,601.470535
0.833927,101,606.089923
0.315318,101,610.671973
3.513913,191,619.410383
1.194288,101,624.063756
3.582183,147,630.840227
4.841886,165,638.343803
14.031529,393,656.247983
1.541721,101,660.841595
0.973962,101,665.405623
0.870714,101,670.030089
1.406805,101,674.681918
1.377109,101,679.257899
1.489332,101,686.34616
1.150878,101,690.941625
0.989559,101,695.571476
0.837154,101,700.166446
1.45106,101,704.722057
1.254277,101,709.30436
0.92017,101,713.886643
0.623933,101,718.39892
0.887516,101,723.028848
0.855125,101,727.620401
1.557287,101,732.302756
0.784454,92,736.500595
1.203999,101,741.081085
0.498261,101,745.682029
0.46795,101,750.242142
0.610457,101,754.857126
0.114261,101,759.510729
0.145645,101,764.116399
0.939294,101,768.721148
-0.171967,101,773.308491
-0.04175,101,777.99322
0.68275,101,782.632932
0.48925,101,787.181964
0.409304,101,791.779937
0.108394,101,796.333063
0.405626,101,800.854837
-0.49836,97,805.266501
0.952528,18,806.075419
0.205682,101,810.699424
-0.103143,101,815.276171
0.088997,101,819.929901
0.129104,101,824.56358
0.394472,101,829.193936
0.209499,101,833.901999
0.239035,101,838.416053
0.08201,101,842.971101
0.383521,101,847.597361
0.177694,101,852.204616
0.568737,101,856.788946
0.424534,101,861.374219
0.282383,101,865.978117
0.090249,101,870.695023
0.204139,101,875.371112
0.3093,101,879.984015
0.299372,101,884.651703
0.637336,101,889.29387
0.314503,101,893.945992
0.22613,101,898.543645
0.136486,101,903.125885
0.322841,101,907.806967
0.51932,101,912.532856
-0.542229,42,915.758159
0.106049,34,917.311453
0.477633,16,918.029749
1.497031,11,918.532495
1.392171,12,919.059623
1.105061,17,919.827199
1.38005,12,920.385855
1.279289,13,920.989859
1.396901,13,921.586428
1.60472,11,922.090059
1.407461,12,922.65167
1.332298,13,923.220006
1.528463,12,923.778785
1.217118,14,924.451104
4.152232,126,930.292756
0.908296,101,934.924384
0.76415,101,939.540914
0.452304,101,944.098577
0.197575,101,948.756929
0.520947,101,953.355047
0.41363,101,957.913002
0.340228,101,962.52117
0.2643,101,967.176844
0.201703,101,971.795064
0.230071,101,976.410361
0.583156,101,980.993661
0.523264,101,985.572006
0.299665,101,990.141385
0.406537,101,994.732287
0.433118,101,999.399462
0.366079,101,1003.98331
0.583983,101,1008.575413
0.636959,101,1013.160312
0.56396,101,1017.791996
0.692856,101,1022.448139
0.764198,101,1027.030713
0.699767,101,1031.612535
0.645727,101,1036.260136
0.766938,101,1040.900276
0.753356,101,1045.533149
0.597387,101,1050.150568
0.684567,101,1054.741956
0.707822,101,1059.273035
0.610199,101,1063.848699
0.702907,101,1068.491436
0.752878,101,1073.170789
0.832957,101,1077.80074
0.739597,101,1082.36179
0.694186,101,1087.009543
0.76117,101,1091.722212
0.859916,101,1096.333388
0.797541,101,1101.009642
0.874093,101,1105.661905
0.787739,101,1110.281313
0.852133,101,1114.833607
0.866921,101,1119.429784
0.783421,101,1124.037046
0.648895,101,1128.612561
0.711444,101,1133.236525
0.688995,101,1137.764672
0.761129,101,1144.753074
0.710277,101,1149.335121
0.744786,101,1153.975362
0.735493,101,1158.556272
0.683666,101,1163.177494
0.815538,101,1167.827975
0.686968,101,1172.42625
0.818047,101,1177.024236
0.823167,101,1181.592563
0.756759,101,1186.157131
0.876162,101,1190.800884
0.898422,101,1195.342416
0.906889,101,1199.96744
0.868611,101,1204.551996
0.82487,101,1209.076731
0.820046,101,1213.608365
0.777666,101,1218.166786
0.76682,101,1222.807697
0.705097,101,1227.410808
0.804059,101,1232.072684
0.755525,101,1236.621289
0.814366,101,1241.279082
0.82115,101,1245.849806
0.796729,101,1250.489959
0.826421,101,1255.091893
0.814784,101,1259.710021
0.811973,101,1264.341324
0.809017,101,1268.934313
0.787762,101,1273.53893
0.789469,101,1278.065534
0.845593,101,1282.623174
0.877392,101,1287.210231
0.809061,101,1291.759842
0.733266,101,1296.333667
0.802624,101,1300.89518
0.802438,101,1305.454411
0.966759,101,1310.122397
1.750429,101,1314.783635
4.812017,86,1318.70215
5.599039,74,1322.036291
4.978446,48,1324.21735
9.330389,23,1325.257813
4.815129,26,1326.435845
5.667448,23,1327.501267
8.717304,17,1328.265317
12.464947,23,1329.320169
16.539654,27,1330.541231
28.255016,34,1332.154313
63.089622,63,1335.013233
40.857997,48,1337.222749
23.355682,28,1338.507572
15.523141,21,1339.478701
12.733608,20,1340.407471
8.987422,16,1341.153469
35.994551,40,1342.963558
42.524206,45,1345.001357
12.525873,19,1345.847415
42.710132,48,1348.033901
9.195584,16,1348.749596
35.272171,38,1350.440325
20.630729,26,1351.63494
35.728039,39,1353.403717
51.625061,52,1355.751945
9.24523,16,1356.481042
42.951986,45,1358.520254
8.623638,15,1359.212558
12.226995,18,1360.021131
12.139452,18,1360.857002
54.925407,56,1363.411014
25.829741,30,1364.807087
9.289879,16,1365.542136
11.71469,17,1366.324797
9.297498,16,1367.063745
12.432794,19,1367.913752
25.792729,29,1369.207081
18.740487,24,1370.313249
66.78391,65,1375.584809
12.678976,19,1376.452892
56.442633,57,1379.053275
18.617124,23,1380.104893
50.639982,52,1382.527363
55.809353,57,1385.107932
11.783237,17,1385.883174
18.258243,22,1386.874572
15.120868,20,1387.77261
31.797608,35,1389.397818
51.566848,52,1391.739668
36.16665,40,1393.561603
71.340926,70,1396.710665
26.199825,33,1398.182421
30.755465,34,1399.715619
12.674139,19,1400.599458
9.235008,16,1401.335191
9.335607,17,1402.131494
31.636224,35,1403.723498
24.185283,29,1405.064232
123.084883,113,1410.206769
60.558872,63,1413.081226
19.495079,24,1414.143866
18.16677,22,1415.135544
96.170929,89,1419.223021
46.473186,47,1421.387791
35.322905,38,1423.109106
23.257472,27,1424.370991
55.680323,56,1426.937656
27.982855,32,1428.395845
40.877781,44,1430.366572
90.076657,87,1434.278177
39.248223,43,1436.213333
46.272936,48,1438.357449
34.488906,38,1440.055631
39.613432,42,1441.92886
24.701892,30,1443.29726
32.442655,37,1444.997408
24.320433,29,1446.313757
28.496849,33,1447.780673
31.744434,35,1449.361732
20.865863,27,1450.586342
27.539772,31,1452.011339
54.21475,54,1454.437487
51.478289,56,1457.013098
35.394043,39,1458.83087
49.124897,50,1461.152269
96.362572,90,1465.233276
38.875344,41,1467.045219
47.709636,51,1469.397544
60.096974,60,1472.131886
66.665941,70,1475.313122
54.721359,56,1477.845117
62.479871,62,1480.670333
34.511092,37,1482.353721
35.884959,39,1484.122719
32.191584,36,1485.748893
48.10104,49,1487.968101
16.116997,22,1489.03596
14.795295,19,1489.897052
22.287709,27,1491.141297
22.991776,28,1492.433724
34.395431,37,1494.108788
16.130175,22,1495.087367
36.123746,40,1496.887705
34.616985,38,1498.671065
29.660988,36,1500.345237
58.028068,61,1503.082556
41.03049,43,1505.049434
15.23585,20,1505.971577
11.700597,17,1506.754744
65.730175,64,1509.682271
74.209262,73,1512.995997
37.486598,42,1514.90651
103.0,102,1519.505579
12.732282,19,1520.353549
12.1261,18,1521.175122
12.652947,19,1522.042799
39.787645,42,1523.933736
14.741924,19,1524.797295
26.389679,31,1526.199808
25.488416,30,1527.58205
43.05401,45,1529.630884
12.107592,18,1530.439571
8.922119,15,1531.117701
8.640274,15,1531.795236
12.12501,18,1532.586846
18.973921,24,1533.669802
9.26394,16,1534.401516
11.794371,17,1535.160541
12.17472,18,1535.964155
19.545816,25,1537.089419
11.790722,17,1537.851322
11.765675,17,1538.642935
12.421719,18,1539.454179
8.980152,15,1540.123029
11.680124,17,1540.931476
11.712157,17,1541.700571
12.692618,19,1542.555602
8.859216,15,1543.230926
8.817144,15,1543.906551
11.701852,17,1544.680923
9.173617,16,1545.390438
11.712983,17,1546.170247
15.596845,21,1547.111582
11.729529,17,1547.880572
9.147289,16,1548.621031
11.762853,17,1549.395908
11.811971,17,1550.179832
8.865698,15,1550.888908
9.228225,16,1551.643467
15.224791,20,1552.560284
9.209702,16,1553.269915
9.222044,16,1553.999013
12.161047,18,1554.826564
8.93419,15,1555.48944
9.272434,16,1556.198782
15.160238,20,1557.121029
11.77725,17,1557.911247
12.658523,19,1558.797548
11.708415,17,1559.577055
8.329135,14,1560.233387
8.307046,14,1560.855398
8.974123,15,1561.547951
12.651947,19,1562.438331
9.226566,16,1563.160329
8.93396,15,1563.848981
8.9597,15,1564.535346
9.181627,16,1565.244635
8.944108,15,1565.924582
9.225113,16,1566.667654
12.098605,18,1567.505285
9.262485,16,1568.200169
8.939216,15,1568.861205
12.150803,18,1569.651807
12.698075,19,1570.487571
11.693567,17,1571.257094
8.826743,15,1571.951907
8.892012,15,1572.651356
12.141097,18,1573.473928
8.909325,15,1574.160335
8.969465,15,1574.858137
9.27782,16,1575.619874
19.392311,24,1576.734938
12.37346,18,1577.567496
9.282282,16,1578.304544
12.676925,19,1579.176954
11.290248,16,1579.900968
39.657661,43,1581.867505
15.298095,20,1582.779489
8.179473,14,1583.399791
8.157943,14,1584.03826
8.89704,15,1584.71218
12.647331,19,1585.595327
15.637064,21,1586.562434
8.952534,15,1587.219943
14.754279,19,1588.076362
11.735619,17,1588.851928
15.165204,20,1589.74443
11.731678,17,1590.503595
12.10179,18,1591.347023
11.689317,17,1592.142663
11.739609,17,1592.917088
15.169982,20,1593.847411
12.195877,18,1594.683897
12.083509,18,1595.501776
9.242778,16,1596.232872
11.778451,17,1597.004686
8.904303,15,1597.696459
12.411117,19,1598.572071
19.669271,25,1599.722162
9.207426,16,1600.461687
8.900116,15,1601.144436
9.179568,16,1601.866049
8.934856,15,1602.999305
12.096725,18,1603.807352
11.732672,17,1604.58673
9.176957,16,1605.307987
8.328417,14,1605.961376
12.100769,18,1606.767359
11.779999,17,1607.526585
12.195571,18,1608.33586
11.803469,17,1609.134388
9.200327,16,1609.849886
16.193164,22,1610.867294
9.184977,16,1611.627542
12.407331,18,1612.452168
12.472069,18,1613.297357
9.250286,16,1614.031414
8.278887,14,1614.674754
8.303037,14,1615.304824
9.224404,16,1616.027572
12.492102,18,1616.840661
8.89559,15,1617.548265
9.163591,16,1618.270163
11.699279,17,1619.013829
12.205247,18,1619.833847
12.109473,18,1620.651055
12.140906,18,1621.488197
9.231604,16,1622.263133
12.129298,18,1623.094204
12.547889,19,1623.966454
37.377849,39,1625.736283
12.166568,18,1626.552613
9.186973,16,1627.265132
11.787786,17,1628.031299
9.262029,16,1628.76626
11.674775,17,1629.54959
12.444981,18,1630.350787
8.646706,15,1631.045886
8.267518,14,1631.675196
8.910307,15,1632.347152
11.333369,16,1633.066101
8.232504,14,1633.723239
8.306128,14,1634.347228
8.328316,14,1634.979889
8.234025,14,1635.606836
8.173296,14,1636.23932
9.193211,16,1636.969251
12.179131,18,1637.814456
9.234965,16,1638.522762
9.227076,16,1639.268201
12.240772,18,1640.077791
8.946885,15,1640.780355
12.753182,20,1641.699525
15.576231,21,1642.675977
9.235737,16,1643.407268
8.88637,15,1644.079431
22.075078,26,1645.276406
11.704711,17,1646.038107
8.335578,14,1646.683877
8.325011,14,1647.341424
9.219874,16,1648.079673
9.168284,16,1648.817755
12.481354,18,1649.633928
15.619404,21,1650.589547
9.282922,16,1651.329802
9.206356,16,1652.037811
8.897039,15,1652.743389
9.204644,16,1653.470001
9.273664,16,1654.164178
9.255337,16,1654.887428
15.209113,20,1655.776461
8.921414,15,1656.488051
9.175011,16,1657.21661
9.297931,16,1657.944258
9.191466,16,1658.683226
12.134066,18,1659.494732
15.253623,20,1660.401624
9.208857,16,1661.128047
8.321972,14,1661.782878
9.282296,16,1662.509436
8.956519,15,1663.196474
9.18991,16,1663.933972
8.599027,15,1664.643301
8.638969,15,1665.316928
8.862475,15,1666.002011
8.815555,15,1666.714293
8.304992,14,1667.347327
8.954699,15,1668.011433
8.916275,15,1668.713336
11.827449,17,1669.519441
8.350054,14,1670.16321
8.296896,14,1670.813876
8.942921,15,1671.492028
8.328945,14,1672.123868
8.88696,15,1672.799224
8.655333,15,1673.463684
11.307279,16,1674.159019
8.279112,14,1674.809474
9.217781,16,1675.531862
8.929563,15,1676.213058
8.319427,14,1676.849335
8.724707,15,1677.552933
15.968897,22,1678.541378
11.784324,17,1679.316566
16.164073,22,1680.309016
12.136433,18,1681.115572
9.284881,16,1681.893927
8.902718,15,1682.592021
8.151546,14,1683.219786
8.864717,15,1683.942099
9.206329,16,1684.660371
8.272286,14,1685.312461
5.853565,14,1685.933316
9.145478,16,1686.675321
11.683914,17,1687.456593
9.14744,16,1688.172381
9.234473,16,1688.922745
9.270973,16,1689.655386
9.195908,16,1690.372072
8.82634,15,1691.045413
8.232819,14,1691.691415
8.347915,14,1692.321553
8.234748,14,1692.952216
8.296896,14,1693.585218
8.940849,15,1694.269567
12.449649,19,1695.142895
15.143595,20,1696.036415
12.12479,18,1696.853969
9.211187,16,1697.580892
15.192981,20,1698.502468
9.272998,16,1699.203277
9.15534,16,1699.996713
15.543149,21,1700.984024
22.546741,28,1702.257299
29.668737,34,1703.807548
16.188622,22,1704.798324
9.157205,16,1705.546392
19.248717,25,1706.657078
12.122638,18,1707.481009
9.252923,16,1708.203725
8.63122,15,1708.882281
30.810916,35,1710.547648
18.974603,24,1711.65605
48.052209,50,1713.882793
28.381204,33,1715.363784
50.736688,52,1717.790196
54.080536,56,1720.348412
19.708469,25,1721.455163
16.145847,22,1722.481223
12.573019,20,1723.4076
65.211936,64,1726.244243
29.994826,33,1727.757736
15.818054,22,1728.740177
63.521698,63,1731.72903
25.797583,30,1733.071892
70.470233,72,1736.329629
49.437231,52,1738.714251
37.585329,40,1740.521276
15.069682,20,1741.453462
15.201984,20,1742.400272
78.59438,76,1745.827954
64.822286,65,1748.724332
51.085582,53,1751.092447
15.620763,21,1752.028193
22.494307,27,1753.230705
40.971443,42,1755.11341
15.583811,21,1756.056975
34.074806,38,1757.799285
59.339821,59,1760.4266
15.94198,22,1761.432386
50.663904,52,1763.762662
19.374009,25,1764.894321
28.851293,33,1766.38302
70.740557,94,1770.612344
78.25592,78,1774.196573
56.00539,57,1776.774714
78.039484,76,1780.264476
12.22615,18,1781.074785
15.841818,22,1782.055872
30.884781,35,1783.678392
34.823256,38,1785.387672
26.910463,31,1786.798088
37.264091,41,1788.624986
112.544639,105,1793.474956
42.893827,45,1795.512252
100.265057,92,1799.701139
99.124675,93,1803.939229
37.641765,39,1805.694246
12.579735,19,1806.555001
19.402774,25,1807.698725
23.951278,28,1808.983466
28.504614,33,1810.495424
51.650311,53,1812.907974
42.609783,45,1814.956781
35.738405,39,1816.70135
28.292592,33,1818.23096
91.175286,86,1822.167685
27.960047,32,1823.619704
40.151031,44,1825.619281
46.412934,48,1827.781651
63.732687,63,1831.295148
88.648568,85,1835.138333
30.583612,34,1836.670465
99.472052,93,1840.873343
40.123635,46,1842.932052
51.228863,53,1845.379101
24.441467,29,1846.708296
32.353495,37,1848.37828
26.567998,31,1849.767634
80.805612,82,1853.584472
24.335787,29,1854.868031
28.192347,32,1856.329795
32.224416,36,1857.962564
27.990088,32,1859.50611
19.16762,24,1860.596492
19.494142,24,1861.665786
27.404851,31,1863.069884
47.717319,51,1865.412916
36.170437,40,1867.214632
16.360093,22,1868.224192
19.912217,25,1869.346824
28.315503,33,1870.846836
24.293678,29,1872.14982
15.667984,21,1873.09986
83.285336,81,1876.793957
24.679921,30,1878.180808
20.495128,26,1879.367438
43.501684,47,1881.485101
23.800684,28,1882.719683
32.211215,36,1884.380733
99.420162,93,1888.578208
24.398868,29,1889.91938
23.205335,27,1891.163353
24.119255,29,1892.499981
20.668338,26,1893.665715
24.577421,30,1895.022669
20.556276,26,1896.20176
24.449669,29,1897.520617
16.519252,22,1898.546496
19.471801,24,1899.659278
38.811795,42,1901.613857
24.689913,30,1902.935037
81.371517,82,1906.678655
16.498387,22,1907.712989
19.978437,25,1908.881424
23.694657,28,1910.154849
22.919305,27,1911.385754
32.353166,36,1913.037851
28.53486,33,1914.530012
20.583578,26,1915.697788
16.968071,23,1916.755843
19.164538,24,1917.819493
28.216231,33,1919.311721
31.175779,34,1920.874294
20.045771,25,1921.999591
27.428993,31,1923.392598
28.315366,33,1924.887905
28.327508,33,1926.391263
20.857502,27,1927.625793
38.844689,41,1929.494075
34.517784,37,1931.165746
23.674976,28,1932.434568
24.002266,28,1933.69475
16.805205,23,1934.748909
24.352229,29,1936.032278
23.167616,27,1937.294151
24.445031,30,1938.658183
13.243695,20,1939.580127
19.144748,24,1940.722394
27.089768,31,1942.168125
23.182793,27,1943.409447
27.130182,31,1944.815997
32.128304,36,1946.552667
23.353968,27,1947.789711
20.553627,26,1948.989623
16.93739,23,1950.057715
19.853548,25,1951.179629
16.83119,23,1952.258485
15.680913,21,1953.214568
15.940803,21,1954.15839
23.544534,28,1955.447784
26.700515,30,1956.823429
23.777632,28,1958.121258
36.249014,40,1959.938508
23.227612,27,1961.17078
23.672857,28,1962.463335
36.499836,41,1964.395989
95.471756,89,1968.494999
23.587868,28,1969.740207
24.273918,29,1971.048629
19.859662,25,1972.176989
39.984193,45,1974.174304
63.020725,63,1976.982856
36.298443,41,1978.851624
31.476317,35,1980.44997
71.317798,71,1983.624565
50.800586,54,1986.095587
20.518321,26,1987.300453
31.655459,35,1988.869042
24.807873,31,1990.273903
13.19176,20,1991.204677
16.755327,23,1992.258119
16.768342,23,1993.31254
32.242325,36,1994.952265
35.592415,39,1996.748702
36.07298,40,1998.588211
24.349724,30,1999.945803
20.492339,26,2001.135503
16.204983,22,2002.160051
23.259564,27,2003.398614
72.484461,72,2006.717016
39.90532,44,2008.782753
27.973097,35,2010.388361
28.030449,33,2011.905071
20.243749,27,2013.101927
17.04044,24,2014.223074
74.015447,80,2017.84749
69.847852,70,2021.100322
46.590226,50,2023.411227
23.288374,28,2024.667914
20.653728,27,2025.842197
20.115852,26,2027.00151
19.409351,24,2028.102306
23.733089,29,2029.409834
36.051181,40,2031.270499
23.715107,28,2032.552301
28.283688,33,2034.028546
23.182709,28,2035.294216
24.578819,30,2036.66566
19.490692,26,2037.86634
28.718999,37,2039.540731
