#{"t_start": 1776964864.5485492, "env_id": "None"}
r,l,t
-107.634527,112,4.658622
-87.08846,76,8.23371
-103.37243,113,13.367536
-111.345248,190,22.072724
-114.276932,190,30.846207
-128.518027,153,37.822567
-123.461274,137,44.052116
-142.950578,188,52.627096
-116.996763,88,56.697724
-126.205746,101,61.261147
-123.422828,101,65.867984
-123.327898,101,70.610775
-129.182973,101,75.213552
-131.062079,101,79.88087
-135.240358,101,84.73623
-122.212782,101,89.341108
-126.601449,198,98.372574
-136.766479,156,105.4466
-131.181311,151,112.381874
-110.312878,151,119.271937
-125.986374,139,125.60784
-124.363199,133,131.683424
-119.434269,132,137.703547
-127.347722,153,144.669916
-119.938959,178,152.856648
-133.051653,101,157.517574
-99.960214,135,163.679086
-119.209524,115,168.823811
-99.905838,153,175.65175
-96.124868,141,181.973771
-131.40962,101,186.465506
-108.529163,112,191.614266
-96.557642,141,198.159967
-119.01921,122,203.739949
-123.067278,163,211.312134
-93.093929,122,216.905557
-109.329902,114,222.05027
-111.283092,111,227.03867
-98.219549,114,235.463143
-92.306032,116,240.7527
-121.625298,114,245.908068
-106.316452,116,251.21782
-84.042352,126,256.865838
-91.87025,117,262.12227
-106.194973,109,267.060658
-100.547823,127,272.82658
-124.383363,109,277.783149
-94.675644,115,282.974637
-95.874978,116,288.261285
-95.152263,124,293.826549
-116.88898,114,299.0262
-104.635759,115,304.30037
-112.748716,110,309.249822
-112.346337,111,314.337994
-101.839815,117,319.669949
-89.803911,130,325.555918
-123.695003,112,330.707156
-113.245897,109,335.730004
-112.573212,109,340.65217
-97.685735,118,345.979258
-116.348714,117,351.233714
-125.925344,110,356.226317
-97.707251,115,361.48201
-97.393285,129,367.360893
-95.985351,130,373.270638
-115.991019,109,378.163117
-92.392315,111,383.146621
-85.577624,129,389.122142
-87.672106,114,394.332141
-107.366458,117,399.659519
-95.044383,116,404.841229
-98.09632,119,410.248509
-122.138587,116,415.53453
-119.590477,111,420.646588
-89.391292,120,425.985802
-136.372043,101,430.599463
-110.889023,123,436.210555
-86.706161,118,441.633928
-101.766526,122,447.265186
-127.250761,174,455.131192
-122.605451,108,462.966263
-95.248004,118,468.378325
-98.348828,123,473.960637
-109.562877,138,480.253643
-126.508592,115,485.469347
-100.819139,139,491.75797
-133.23615,101,496.416383
-114.762611,188,504.901223
-96.107927,134,511.01907
-100.335797,148,517.772979
-92.200205,132,523.730549
-97.079211,120,529.126963
-112.920154,116,534.398721
-97.833046,126,540.135843
-86.792951,114,545.368347
-131.796781,101,549.94658
-117.302276,108,554.839543
-97.181096,115,560.082637
-102.332939,145,566.630898
-123.611159,116,571.938319
-110.620691,110,576.951984
-96.553126,126,582.743494
-101.981191,141,589.106293
-115.353615,160,596.312457
-108.759293,160,603.642593
-113.911612,110,608.578354
-87.82044,118,613.883515
-111.126357,129,619.717872
-132.958423,129,625.48582
-136.440451,101,630.075791
-113.665628,157,637.167665
-100.937911,143,643.764149
-127.688877,188,652.393862
-122.348042,189,660.942642
-122.353157,177,668.958973
-126.877084,110,673.952178
-132.646851,101,678.542244
-100.151942,113,683.608901
-129.442792,191,694.953532
-119.879817,116,700.086231
-144.418008,174,707.906854
-104.266009,122,713.355211
-95.980035,129,719.215679
-144.408041,201,728.229311
-135.674696,101,732.861432
-98.311415,130,738.799779
-123.895519,166,746.528941
-121.839988,136,752.862861
-119.130539,113,758.14231
-139.138293,219,768.350366
-125.280332,183,776.763418
-119.041318,142,783.332819
-133.828291,166,790.902905
-113.054749,117,796.263913
-109.837291,115,801.529336
-119.569005,120,807.079215
-119.222115,114,812.24692
-129.137788,135,818.51518
-129.485948,101,823.179639
