#{"t_start": 1776865388.9570847, "env_id": "None"}
r,l,t
-1987.663136,354,15.436182
-2873.588021,299,28.622581
-421.995805,47,30.691047
-51.936902,39,32.411829
-298.320919,55,34.884547
-166.317125,29,36.183229
-422.892005,49,38.439778
-469.5732,73,41.645877
-8.519994,29,42.953033
-586.600836,95,47.241523
126.550109,57,49.771697
102.529686,80,53.46319
-4813.725082,258,65.098072
-7750.021649,514,88.163681
42.33041,27,89.383631
-172.952047,56,91.847628
-434.554587,61,94.515378
97.208946,45,96.523115
42.546947,23,97.539321
26.375216,21,98.450114
43.458223,24,99.527669
23.928545,32,100.980431
-14.71081,25,102.094624
38.567042,14,102.714284
-3.784864,25,103.861289
14.794905,20,104.760684
13.666752,20,105.64615
53.798562,25,106.793263
29.920483,18,107.636354
31.846592,26,108.878261
27.951341,16,109.584094
17.512487,20,110.499197
7.419566,14,111.122291
51.464605,25,112.268327
24.009952,19,113.148075
31.550606,19,113.979532
72.496274,26,115.224826
29.492352,18,116.062595
20.581205,22,117.063949
8.040136,16,117.77009
41.973739,22,118.836896
29.255707,19,119.722205
37.898724,19,120.68187
29.483536,16,121.471238
21.371626,16,122.217539
49.492413,21,123.12712
67.963976,23,124.143198
40.730959,20,125.063055
46.739328,17,125.858042
53.065549,18,126.675079
23.111639,14,127.342063
28.601996,19,128.17351
25.400019,22,129.14253
20.187195,18,129.957806
69.297358,19,130.801419
27.328508,16,131.499379
17.72287,18,132.272062
59.716331,18,133.059373
34.847443,17,133.813288
19.726622,14,134.445062
40.496419,16,135.169818
62.716719,17,135.94776
40.278595,16,136.650247
30.89737,14,137.265815
43.381363,15,137.926482
44.520956,16,138.648757
10.782191,16,139.355513
18.828266,13,139.949866
41.260492,15,140.611078
56.641026,16,141.296304
20.821027,13,141.867989
41.856581,15,142.520766
91.519842,21,143.457085
38.732319,14,144.100902
101.238698,21,145.045489
40.735271,15,145.704959
11.32749,12,146.267719
81.212729,18,147.08371
71.273343,16,147.817133
20.250392,13,148.431432
19.111558,12,149.019164
24.523358,13,149.622561
58.090543,16,150.330055
32.385126,15,151.059359
32.495458,14,151.677494
24.970916,13,152.244385
61.297266,17,153.020884
43.492239,15,153.695466
70.459663,18,154.524589
158.856962,24,155.627424
13.218296,12,156.149502
70.347691,18,157.002086
56.333112,15,157.681038
55.78383,16,158.396425
139.124347,24,159.462465
94.684149,19,160.310136
58.568678,16,161.038843
37.013474,13,161.621422
59.562051,16,162.332417
43.162072,15,162.981013
56.871877,15,163.695794
58.285434,15,164.39917
16.462452,12,164.924804
39.617168,14,165.539266
40.977925,14,166.200944
60.016998,16,166.893902
