#{"t_start": 1776887679.3879743, "env_id": "None"}
r,l,t
17.553986,12,12.792393
-8.435938,11,13.385718
-10.712666,12,14.02829
67.256114,16,14.938372
17.460635,13,15.668615
175.736186,24,16.890312
41.751692,18,17.784337
-2.472595,11,18.405278
130.577928,22,19.520652
35.894368,13,20.21848
154.393856,23,21.424713
25.710934,13,22.136461
58.651014,15,22.926578
139.423867,22,24.098208
220.667178,26,25.389917
-208.140988,35,27.132159
38.721147,13,27.847206
15.981602,11,28.456186
34.216645,13,29.131799
8.655795,11,29.731988
188.517237,26,31.056838
67.822498,16,31.880594
9.445374,11,32.512571
86.677732,17,33.401644
3.096863,11,34.034564
54.015461,16,34.916527
21.710719,12,35.633243
41.097981,14,36.403307
15.763738,12,37.05013
48.851272,15,37.871891
-2.507668,11,38.494728
17.458906,12,39.141829
-5.431426,11,39.749312
31.963353,12,40.411996
14.438389,11,41.06943
4.176007,10,41.650259
10.900035,11,42.261449
26.790035,14,43.009773
26.732433,13,43.743396
15.855617,12,44.442508
9.922682,11,45.068765
9.999286,12,45.76313
66.335608,17,46.64769
39.91466,15,47.475105
17.620931,12,48.141189
174.160364,28,49.520754
34.265436,16,50.353004
12.798744,18,51.262781
16.819321,13,51.945668
105.483302,21,53.047289
14.457861,12,53.705148
25.629828,13,54.406825
79.928379,23,55.616776
23.991566,14,56.426189
99.353682,25,57.815442
4.576359,11,58.447442
8.713805,11,59.047615
11.460831,13,59.757184
3.157735,12,60.39895
12.409896,12,61.0731
36.500594,14,61.81643
-5.676085,11,62.43594
237.949233,34,64.135729
74.026745,24,65.348373
12.824987,12,66.016011
-112.175293,34,67.722744
82.771736,18,68.663754
64.750394,17,69.595019
13.692467,15,70.396608
44.229508,15,71.193633
16.381805,14,71.909481
57.776421,20,72.952443
26.922006,13,73.65053
-283.990225,41,75.74705
69.370876,22,76.856004
92.914412,21,77.91292
18.471039,13,78.636329
128.790202,20,79.680168
-3.903729,10,80.251124
19.065331,15,81.051706
87.153383,18,82.050684
-159.37256,93,86.744452
-8.267813,11,87.335484
182.258452,25,88.61207
18.490887,11,89.224248
-464.355321,73,92.884434
18.745733,13,93.571033
0.162666,12,94.218351
20.476106,12,94.955504
14.482292,12,95.645283
-0.638726,11,96.269523
26.707018,13,96.976932
154.916974,33,98.70287
5.38237,10,99.281637
6.145839,12,99.951169
92.297661,19,101.002342
41.466266,14,101.758339
-12.710915,11,102.398585
20.064443,12,103.050765
40.036418,14,103.811548
50.61934,18,104.7634
80.338145,17,105.71018
10.791725,13,106.448108
53.511156,24,107.651334
-2.826992,11,108.250647
10.578133,12,108.91937
39.139185,16,109.789402
8.068888,11,110.390726
22.25129,16,111.289565
4.208307,11,111.91576
20.040805,13,112.594236
28.063262,13,113.268931
19.809726,13,113.984652
81.719477,18,114.968775
-3.473519,11,115.608335
73.222732,21,116.685941
33.597446,13,117.394056
29.905172,14,118.172593
26.040589,13,118.844833
23.542424,12,119.495117
-2936.664297,106,124.648486
143.507283,22,125.747544
42.506872,14,126.459937
35.646704,15,127.236522
35.955741,19,128.266093
14.195143,12,128.936183
5.150545,11,129.55737
33.406899,15,130.421924
46.190108,15,131.275092
31.549193,15,132.105939
