#{"t_start": 1776946536.5769904, "env_id": "None"}
r,l,t
81.738577,23,5.265141
-5.11909,15,6.085602
-28.978999,18,7.058175
-31.566764,12,7.741995
-9.512497,12,8.465746
-8.095749,13,9.178545
74.95813,21,10.23536
-23.559797,11,10.842893
-6.955225,14,11.607961
63.224159,19,12.778897
146.772928,28,14.183718
106.082728,24,15.386183
15.896146,15,16.184812
-2.10947,18,17.145077
42.056137,20,18.103531
-7.647978,60,20.947388
80.874103,22,22.058659
-29.118764,302,36.683877
-21.797146,308,51.698035
-3.528266,311,66.780915
-28.822298,30,68.300821
69.849173,24,69.560272
-38.85449,301,83.869497
-22.999097,15,84.623551
-36.987092,169,92.703176
-37.287605,301,107.141663
-33.516186,301,121.242853
7.05037,311,135.834008
-34.567097,301,149.853194
285.529612,58,152.606908
-29.124442,302,167.06893
7.183803,20,168.078567
-32.608107,437,189.111916
9.248016,16,189.974218
-21.917566,302,204.374558
-29.594511,301,218.906602
-19.735931,306,233.840619
-20.110507,302,253.717786
98.478187,24,254.938291
-25.746419,13,255.641938
-34.670017,21,256.703126
-43.622932,301,271.610971
-44.533509,75,275.355069
-26.238496,12,276.002461
-17.908411,306,290.929061
93.79457,33,292.562421
48.599506,201,302.361265
10.244516,25,303.731367
41.64973,108,309.277523
-24.815773,14,310.04926
82.796848,37,311.939171
-5.918248,19,312.950983
-28.438102,326,329.071069
-24.559173,305,343.583652
48.810956,22,344.692044
-28.429201,302,359.40361
20.44772,332,375.590924
-30.61709,301,390.403015
-7.066828,16,391.242978
-25.002277,301,406.039379
223.861115,36,407.866281
-30.05509,301,422.651023
-14.015199,15,423.396864
-32.419712,380,441.197974
-27.989911,96,445.9103
-25.167985,11,446.481578
-26.783749,301,460.798653
-25.801192,33,462.487549
-39.300209,301,477.1853
-35.773234,105,482.167709
-20.1683,302,501.923094
-30.836555,301,516.266405
-31.867269,301,530.924033
-29.90144,301,545.640753
-31.648741,301,560.097319
-24.4716,13,560.801185
-6.901673,19,561.841525
-41.095157,301,576.274621
-9.26132,36,578.001294
-9.750223,14,578.807561
9.481648,20,579.832267
-23.810885,307,594.832892
-41.261135,301,609.933652
-27.206567,396,629.362713
-105.739066,216,640.091332
0.249857,312,655.405858
-85.277741,277,668.958158
